what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.team.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.team.ui",1315453828450
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1315453828497
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1315453828559
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1315453828715
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1315453828887
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1315453828902
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1315453828965
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1315453829012
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1315453829090
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1315453829183
started,bundle,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.ide",1315453829230
started,bundle,org.eclipse.ui.navigator,3.5.100.I20110524-0800,"org.eclipse.ui.navigator",1315453829308
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.resources",1315453829355
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1315453829386
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1315453829417
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1315453829464
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1315453829542
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1315453829573
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1315453829698
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1315453829745
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1315453829823
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.100.v201011172300,"org.eclipse.wst.common.emfworkbench.integration",1315453829885
started,bundle,org.eclipse.wst.common.frameworks,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks",1315453829916
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1315453830010
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1315453830072
started,bundle,org.eclipse.wb.core,1.1.0.r37x201107161214,"org.eclipse.wb.core",1315453830119
started,bundle,org.eclipse.wb.core.lib,1.1.0.r37x201107161214,"org.eclipse.wb.core.lib",1315453830150
started,bundle,com.google.gdt.eclipse.core,2.3.3.r37v201107211953,"com.google.gdt.eclipse.core",1315453830197
started,bundle,com.google.gdt.eclipse.login,2.3.3.r37v201107211953,"com.google.gdt.eclipse.login",1315453830197
started,bundle,com.google.gdt.eclipse.managedapis,2.3.3.r37v201107211953,"com.google.gdt.eclipse.managedapis",1315453830197
os,sysinfo,,,"win32",1315453830197
arch,sysinfo,,,"x86_64",1315453830197
ws,sysinfo,,,"win32",1315453830197
locale,sysinfo,,,"en_US",1315453830197
processors,sysinfo,,,"4",1315453830197
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1315453830197
java.runtime.version,sysinfo,,,"1.6.0_26-b03",1315453830197
java.specification.name,sysinfo,,,"Java Platform API Specification",1315453830197
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1315453830197
java.specification.version,sysinfo,,,"1.6",1315453830197
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1315453830197
java.version,sysinfo,,,"1.6.0_26",1315453830197
java.vm.info,sysinfo,,,"mixed mode",1315453830197
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1315453830197
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1315453830197
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1315453830197
java.vm.specification.version,sysinfo,,,"1.0",1315453830197
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1315453830197
java.vm.version,sysinfo,,,"20.1-b02",1315453830197
started,bundle,com.google.gdt.eclipse.designer,2.3.2.r37x201107161302,"com.google.gdt.eclipse.designer",1315453830322
started,bundle,org.eclipse.debug.core,3.7.0.v20110518,"org.eclipse.debug.core",1315453830728
started,bundle,com.google.gdt.eclipse.designer.GXT,2.3.2.r37x201107161328,"com.google.gdt.eclipse.designer.GXT",1315453830790
started,bundle,com.google.gdt.eclipse.designer.SmartGWT,2.3.2.r37x201107161328,"com.google.gdt.eclipse.designer.SmartGWT",1315453830821
started,bundle,com.google.gdt.eclipse.designer.UiBinder,2.3.2.r37x201107161302,"com.google.gdt.eclipse.designer.UiBinder",1315453830868
started,bundle,com.google.gdt.eclipse.designer.usageprofiler,2.3.2.r37x201107161328,"com.google.gdt.eclipse.designer.usageprofiler",1315453830930
started,bundle,com.google.gdt.eclipse.designer.usageprofiler.ui,2.3.2.r37x201107161328,"com.google.gdt.eclipse.designer.usageprofiler.ui",1315453831008
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201107161227,"org.eclipse.wb.discovery.core",1315453831024
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201107161227,"org.eclipse.wb.discovery.ui",1315453835907
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315453846125
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1315453846702
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1315453846718
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1315453847342
